,t[s],command_vel,command_omega
0,0.0,1.5556575057782472e-10,0.0
1,0.09990096092224121,1.4778746304893348e-10,0.0
2,0.19998884201049805,1.403980898964868e-10,0.0
3,0.29994797706604004,1.3337818540166245e-10,0.0
4,0.40007591247558594,1.2670927613157933e-10,0.0
5,0.49988389015197754,1.2037381232500035e-10,0.0
6,0.6000969409942627,1.1435512170875032e-10,0.0
7,0.7000749111175537,1.086373656233128e-10,0.0
8,0.8013198375701904,1.0320549734214715e-10,0.0
9,0.8999638557434082,9.804522247503978e-11,0.0
10,1.000093936920166,9.314296135128778e-11,0.0
11,1.1002628803253174,8.848581328372339e-11,0.0
12,1.1993389129638672,8.406152261953722e-11,0.0
13,1.3000209331512451,7.985844648856035e-11,0.0
14,1.4001178741455078,7.586552416413232e-11,0.0
15,1.5001018047332764,7.20722479559257e-11,0.0
16,1.6001229286193848,6.846863555812942e-11,0.0
17,1.7001118659973145,6.504520378022295e-11,0.0
18,1.8004508018493652,6.179294359121181e-11,0.0
19,1.900129795074463,5.870329641165122e-11,0.0
20,1.9999828338623047,5.576813159106865e-11,0.0
21,2.100165843963623,5.297972501151522e-11,0.0
22,2.200209856033325,5.0330738760939454e-11,0.0
23,2.300280809402466,4.781420182289248e-11,0.0
24,2.400279998779297,4.542349173174785e-11,0.0
25,2.5000288486480713,4.315231714516045e-11,0.0
26,2.600139856338501,4.099470128790243e-11,0.0
27,2.7001678943634033,3.8944966223507304e-11,0.0
28,2.8002049922943115,3.699771791233194e-11,0.0
29,2.9004738330841064,3.514783201671534e-11,0.0
30,3.000234842300415,3.339044041587957e-11,0.0
31,3.100191831588745,3.172091839508559e-11,0.0
32,3.200218915939331,3.013487247533131e-11,0.0
33,3.3002288341522217,2.8628128851564744e-11,0.0
34,3.4003329277038574,2.7196722408986505e-11,0.0
35,3.5004689693450928,2.5836886288537177e-11,0.0
36,3.599982976913452,2.4545041974110316e-11,0.0
37,3.7002079486846924,2.33177898754048e-11,0.0
38,3.800212860107422,2.215190038163456e-11,0.0
39,3.9004909992218018,2.104430536255283e-11,0.0
40,4.000249862670898,1.9992090094425186e-11,0.0
41,4.0996198654174805,1.8992485589703925e-11,0.0
42,4.199445962905884,1.8042861310218728e-11,0.0
43,4.299551963806152,1.714071824470779e-11,0.0
44,4.399448871612549,1.62836823324724e-11,0.0
45,4.499449968338013,1.546949821584878e-11,0.0
46,4.5994789600372314,1.4696023305056342e-11,0.0
47,4.699528932571411,1.3961222139803525e-11,0.0
48,4.799587965011597,1.3263161032813347e-11,0.0
49,4.899508953094482,1.260000298117268e-11,0.0
50,4.999768018722534,1.1970002832114045e-11,0.0
51,5.099609851837158,1.1371502690508342e-11,0.0
52,5.199589014053345,1.0802927555982924e-11,0.0
53,5.299606800079346,1.0262781178183777e-11,0.0
54,5.399556875228882,9.749642119274588e-12,0.0
55,5.499562978744507,9.262160013310858e-12,0.0
56,5.599592924118042,8.799052012645315e-12,0.0
57,5.6996009349823,8.35909941201305e-12,0.0
58,5.799624919891357,7.941144441412397e-12,0.0
59,5.899610996246338,7.544087219341776e-12,0.0
60,5.9996178150177,7.166882858374687e-12,0.0
61,6.099587917327881,6.808538715455953e-12,0.0
62,6.199607849121094,6.468111779683155e-12,0.0
63,6.299638986587524,6.144706190698997e-12,0.0
64,6.399653911590576,5.837470881164047e-12,0.0
65,6.499660015106201,5.545597337105844e-12,0.0
66,6.599723815917969,5.2683174702505515e-12,0.0
67,6.699731826782227,5.004901596738024e-12,0.0
68,6.799728870391846,4.7546565169011226e-12,0.0
69,6.899749994277954,4.516923691056066e-12,0.0
70,6.999748945236206,4.291077506503262e-12,0.0
71,7.09974479675293,4.076523631178099e-12,0.0
72,7.199748992919922,3.872697449619194e-12,0.0
73,7.299911975860596,3.679062577138234e-12,0.0
74,7.399950981140137,3.4951094482813224e-12,0.0
75,7.499949932098389,3.320353975867256e-12,0.0
76,7.599630832672119,3.154336277073893e-12,0.0
77,7.699783802032471,2.9966194632201984e-12,0.0
78,7.7997589111328125,2.8467884900591883e-12,0.0
79,7.899746894836426,2.704449065556229e-12,0.0
80,7.999740839004517,2.5692266122784174e-12,0.0
81,8.099763870239258,2.4407652816644965e-12,0.0
82,8.1997549533844,2.3187270175812716e-12,0.0
83,8.299731969833374,2.202790666702208e-12,0.0
84,8.399751901626587,2.0926511333670977e-12,0.0
85,8.499218940734863,1.988018576698743e-12,0.0
86,8.59972882270813,1.8886176478638056e-12,0.0
87,8.699721813201904,1.7941867654706152e-12,0.0
